ｘｘｘ,due date,完了,ステータス,タスク名
"","","","","タスク名	ステータス	優先度	期限	担当者	メモ
プロジェクト計画の策定	未着手	高	2025-05-01	山田太郎	主要な目標と期限を含めること
週次ミーティングの準備	進行中	中	2025-04-28	佐藤花子	アジェンダと資料を用意する
プレゼン資料の作成	進行中	高	2025-04-30	鈴木一郎	クライアントミーティング用
バグ修正対応	レビュー中	中	2025-04-29	田中美咲	優先度の高いバグから対応
新機能の実装	未着手	中	2025-05-10	山田太郎	要件定義書を参照
顧客フィードバックの分析	完了	低	2025-04-20	佐藤花子	改善点をまとめる
デザインレビュー	進行中	中	2025-04-28	高橋和子	UIの一貫性を確認
マーケティング企画	未着手	高	2025-05-05	中村健太	予算案も一緒に作成
リリース準備	未着手	高	2025-05-15	鈴木一郎	テスト計画を含める
ドキュメント更新	レビュー中	低	2025-05-08	田中美咲	ユーザーマニュアルの更新
チームビルディング企画	未着手	低	2025-05-20	高橋和子	半日程度のアクティビティ
月次レポート作成	未着手	中	2025-05-03	中村健太	前月の業績分析を含める
競合分析	進行中	中	2025-05-06	山田太郎	主要3社の比較表を作成
採用面接	予定済	高	2025-04-26	佐藤花子	エンジニア2名の一次面接
契約書レビュー	未着手	高	2025-04-29	鈴木一郎	法務部と連携"
"aaaaaaaaaaaaaa111111111111111111111102339888888888888888888888888","","","","0423★★"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","一括作成ページ #3"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","一括作成ページ #2"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","一括作成ページ #1"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","NotionAPIで自動作成したページ"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","一括作成ページ #3"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","一括作成ページ #2"
"自動生成されたコンテンツ","2025-04-22","","自動生成されたコンテンツ","NotionAPIで自動作成したページ"
"ｊｊｊ","2025-05-10","完了","進行中","ｈｈｈ"
"","","","ｓｓｓ","ddd"
"","2025-04-29","","完了","d"
"","2025-05-01","","未着手","fgf"
"","2025-04-02","","未着手","i"
"","2025-04-23","","未着手","d"
